symbol,turnover_24h_usd_e9,excluded_reason,coverage_top50_bps,suitable_baskets,measured,window_start_utc_ms,window_secs,events,median_bid_depth_usd_e9,median_ask_depth_usd_e9,depth_check,order_size_e9,order_size_notional_usd_e9,selected_for_pilot,final_rank
APEXUSDT,771117110000000,rank_beyond_pool,,,false,,,,,,,,,false,
APPSTOCKUSDT,770924324500000,rank_beyond_pool,,,false,,,,,,,,,false,
INTUUSDT,762069132400000,listed_under_30d,,,false,,,,,,,,,false,
MSTUUSDT,758061291000000,listed_under_30d,,,false,,,,,,,,,false,
CYBERUSDT,753817922700000,rank_beyond_pool,,,false,,,,,,,,,false,
QNTUSDT,751526131700000,rank_beyond_pool,,,false,,,,,,,,,false,
ZRXUSDT,750984711800000,rank_beyond_pool,,,false,,,,,,,,,false,
AIOZUSDT,750889388200000,rank_beyond_pool,,,false,,,,,,,,,false,
ARXUSDT,746316814500000,rank_beyond_pool,,,false,,,,,,,,,false,
NOTUSDT,740290466700000,rank_beyond_pool,,,false,,,,,,,,,false,
WCTUSDT,734187356300000,rank_beyond_pool,,,false,,,,,,,,,false,
APLDUSDT,731125697200000,rank_beyond_pool,,,false,,,,,,,,,false,
BRETTUSDT,730077133900000,rank_beyond_pool,,,false,,,,,,,,,false,
INITUSDT,722751509100000,rank_beyond_pool,,,false,,,,,,,,,false,
REDUSDT,721388271500000,rank_beyond_pool,,,false,,,,,,,,,false,
NEWTUSDT,719192431700000,rank_beyond_pool,,,false,,,,,,,,,false,
BIOUSDT,718541548300000,rank_beyond_pool,,,false,,,,,,,,,false,
ICXUSDT,716976467200000,rank_beyond_pool,,,false,,,,,,,,,false,
BATUSDT,716469400700000,rank_beyond_pool,,,false,,,,,,,,,false,
PNUTUSDT,713501435400000,rank_beyond_pool,,,false,,,,,,,,,false,
SHAZUSDT,710042618700000,rank_beyond_pool,,,false,,,,,,,,,false,
AMZNUSDT,709902352100000,rank_beyond_pool,,,false,,,,,,,,,false,
1000NEIROCTOUSDT,707240680700000,rank_beyond_pool,,,false,,,,,,,,,false,
SPYUSDT,704681887800000,rank_beyond_pool,,,false,,,,,,,,,false,
MMTUSDT,700395825700000,rank_beyond_pool,,,false,,,,,,,,,false,
