set,form,short,история_n,история_net,история_control,история_excess,история_days_pos,история_days,история_usd,запись_n,запись_net,запись_control,запись_excess,запись_days_pos,запись_days,запись_usd,holds
t-bid-btc4h-q1,ladder3x2..20w2-pct2-tr0.5x0.25-14400-ttl1800,pct2 · tr0.5x0.25 · 4 ч · без выхода по стене,139,14.9523,-21.1895,36.1418,10,11,207.83696999999998,23,26.3404,0.1327,26.2077,4,6,60.58292,да
t-bid-btc4h-q1,ladder3x2..20w2-pct2-tr0.5x0.25-14400-ttl1800-gone50be,pct2 · tr0.5x0.25 · 4 ч · gone50be,191,-0.396,-12.6214,12.2254,10,11,-7.563600000000001,25,9.5383,-0.1014,9.6397,5,6,23.84575,нет
t-bid-btc4h-q1,ladder3x2..20w2-pct2-tr0.5x0.25-14400-ttl1800-gone50bex,pct2 · tr0.5x0.25 · 4 ч · gone50bex,233,-6.2716,-9.0278,2.7562,7,11,-146.12828000000002,26,7.4214,-1.3232,8.7447,5,6,19.29564,нет
t-bid-btc4h-q1,ladder3x2..20w2-pct2-tr0.5x0.25-14400-ttl1800-gone90be,pct2 · tr0.5x0.25 · 4 ч · gone90be,173,3.809,-14.9462,18.7551,9,11,65.8957,25,13.6354,0.1177,13.5177,5,6,34.088499999999996,да
t-bid-btc4h-q1,ladder3x2..20w2-pct2-tr0.5x0.25-14400-ttl1800-gone90bex,pct2 · tr0.5x0.25 · 4 ч · gone90bex,213,-1.1664,-9.6629,8.4965,8,11,-24.844320000000003,26,11.7786,-1.0563,12.8348,5,6,30.624360000000003,нет
t-bid-btc4h-q1,ladder3x2..20w2-pct2-tr0.5x0.25-7200-ttl1800,pct2 · tr0.5x0.25 · 2 ч · без выхода по стене,157,12.1082,-18.6021,30.7103,10,11,190.09874,27,23.5519,-2.773,26.325,4,6,63.59013,да
t-bid-btc4h-q1,ladder3x2..20w2-pct2-tr0.5x0.25-7200-ttl1800-gone50be,pct2 · tr0.5x0.25 · 2 ч · gone50be,201,0.5914,-11.6203,12.2117,10,11,11.88714,27,3.113,-3.7596,6.8727,4,6,8.405100000000001,да
t-bid-btc4h-q1,ladder3x2..20w2-pct2-tr0.5x0.25-7200-ttl1800-gone50bex,pct2 · tr0.5x0.25 · 2 ч · gone50bex,239,-4.8137,-8.5332,3.7195,7,11,-115.04742999999999,27,4.8829,-3.9386,8.8215,4,6,13.18383,нет
t-bid-btc4h-q1,ladder3x2..20w2-pct2-tr0.5x0.25-7200-ttl1800-gone90be,pct2 · tr0.5x0.25 · 2 ч · gone90be,186,4.0582,-13.3457,17.4038,10,11,75.48252,27,8.6643,-3.5533,12.2176,4,6,23.393610000000002,да
t-bid-btc4h-q1,ladder3x2..20w2-pct2-tr0.5x0.25-7200-ttl1800-gone90bex,pct2 · tr0.5x0.25 · 2 ч · gone90bex,221,-0.5568,-9.2449,8.6881,8,11,-12.30528,27,8.9812,-3.6928,12.674,4,6,24.249239999999997,нет
