symbol,stop_pct,deadline,mmr_pct,max_leverage,risk_limit_usd,adverse_p99_bps,adverse_n,adverse_source,lev_by_stop_k,lev_by_adverse_p99,leverage,margin_per_10k_usd,liq_distance_pct,funding_abs_mean_bps_8h,funding_abs_max_bps_8h
LTCUSDT,2.0,3600s,0.67,75.0,10000.0,30.3,5,coin,21.4,102.8,21,476.2,4.09,0.643,1.0
SNXXUSDT,0.5,3600s,1.25,50.0,10000.0,124.0,104,coin,44.4,40.2,40,250.0,1.25,2.335,29.002
SNXXUSDT,1.0,3600s,1.25,50.0,10000.0,124.0,104,coin,30.8,40.2,30,333.3,2.08,2.335,29.002
SNXXUSDT,2.0,3600s,1.25,50.0,10000.0,124.0,104,coin,19.0,40.2,19,526.3,4.01,2.335,29.002
ARKUSDT,0.5,3600s,2.0,25.0,5000.0,233.0,0,pool,33.3,23.1,23,434.8,2.35,10.219,200.0
ARKUSDT,1.0,3600s,2.0,25.0,5000.0,233.0,0,pool,25.0,23.1,23,434.8,2.35,10.219,200.0
ARKUSDT,2.0,3600s,2.0,25.0,5000.0,233.0,0,pool,16.7,23.1,16,625.0,4.25,10.219,200.0
HBARUSDT,0.5,3600s,0.67,75.0,10000.0,17.6,1,coin,59.9,118.2,59,169.5,1.02,0.749,2.113
HBARUSDT,1.0,3600s,0.67,75.0,10000.0,17.6,1,coin,37.5,118.2,37,270.3,2.03,0.749,2.113
HBARUSDT,2.0,3600s,0.67,75.0,10000.0,17.6,1,coin,21.4,118.2,21,476.2,4.09,0.749,2.113
FARTCOINUSDT,0.5,3600s,1.5,50.0,10000.0,233.0,0,pool,40.0,26.1,26,384.6,2.35,0.806,4.934
FARTCOINUSDT,1.0,3600s,1.5,50.0,10000.0,233.0,0,pool,28.6,26.1,26,384.6,2.35,0.806,4.934
FARTCOINUSDT,2.0,3600s,1.5,50.0,10000.0,233.0,0,pool,18.2,26.1,18,555.6,4.06,0.806,4.934
XMRUSDT,0.5,3600s,1.0,75.0,5000.0,233.0,0,pool,50.0,30.0,30,333.3,2.33,2.879,18.598
XMRUSDT,1.0,3600s,1.0,75.0,5000.0,233.0,0,pool,33.3,30.0,30,333.3,2.33,2.879,18.598
XMRUSDT,2.0,3600s,1.0,75.0,5000.0,233.0,0,pool,20.0,30.0,20,500.0,4.0,2.879,18.598
CASHCATUSDT,0.5,3600s,5.0,10.0,10000.0,233.0,0,pool,16.7,13.6,10,1000.0,5.0,0.563,2.806
CASHCATUSDT,1.0,3600s,5.0,10.0,10000.0,233.0,0,pool,14.3,13.6,10,1000.0,5.0,0.563,2.806
CASHCATUSDT,2.0,3600s,5.0,10.0,10000.0,233.0,0,pool,11.1,13.6,10,1000.0,5.0,0.563,2.806
FLOCKUSDT,0.5,3600s,2.5,20.0,5000.0,233.0,0,pool,28.6,20.7,20,500.0,2.5,1.911,23.656
FLOCKUSDT,1.0,3600s,2.5,20.0,5000.0,233.0,0,pool,22.2,20.7,20,500.0,2.5,1.911,23.656
FLOCKUSDT,2.0,3600s,2.5,20.0,5000.0,233.0,0,pool,15.4,20.7,15,666.7,4.17,1.911,23.656
APTUSDT,0.5,3600s,1.0,50.0,200000.0,233.0,0,pool,50.0,30.0,30,333.3,2.33,0.797,2.763
APTUSDT,1.0,3600s,1.0,50.0,200000.0,233.0,0,pool,33.3,30.0,30,333.3,2.33,0.797,2.763
APTUSDT,2.0,3600s,1.0,50.0,200000.0,233.0,0,pool,20.0,30.0,20,500.0,4.0,0.797,2.763
INJUSDT,0.5,3600s,1.0,50.0,200000.0,233.0,0,pool,50.0,30.0,30,333.3,2.33,1.038,9.376
INJUSDT,1.0,3600s,1.0,50.0,200000.0,233.0,0,pool,33.3,30.0,30,333.3,2.33,1.038,9.376
INJUSDT,2.0,3600s,1.0,50.0,200000.0,233.0,0,pool,20.0,30.0,20,500.0,4.0,1.038,9.376
PENDLEUSDT,0.5,3600s,1.0,50.0,5000.0,233.0,0,pool,50.0,30.0,30,333.3,2.33,0.928,1.895
PENDLEUSDT,1.0,3600s,1.0,50.0,5000.0,233.0,0,pool,33.3,30.0,30,333.3,2.33,0.928,1.895
PENDLEUSDT,2.0,3600s,1.0,50.0,5000.0,233.0,0,pool,20.0,30.0,20,500.0,4.0,0.928,1.895
ASTRUSDT,0.5,3600s,2.0,25.0,25000.0,233.0,0,pool,33.3,23.1,23,434.8,2.35,5.774,129.168
ASTRUSDT,1.0,3600s,2.0,25.0,25000.0,233.0,0,pool,25.0,23.1,23,434.8,2.35,5.774,129.168
ASTRUSDT,2.0,3600s,2.0,25.0,25000.0,233.0,0,pool,16.7,23.1,16,625.0,4.25,5.774,129.168
UAIUSDT,0.5,3600s,2.5,20.0,5000.0,233.0,0,pool,28.6,20.7,20,500.0,2.5,0.805,9.905
UAIUSDT,1.0,3600s,2.5,20.0,5000.0,233.0,0,pool,22.2,20.7,20,500.0,2.5,0.805,9.905
UAIUSDT,2.0,3600s,2.5,20.0,5000.0,233.0,0,pool,15.4,20.7,15,666.7,4.17,0.805,9.905
BCHUSDT,0.5,3600s,0.67,75.0,10000.0,83.2,14,coin,59.9,66.6,59,169.5,1.02,0.748,2.027
BCHUSDT,1.0,3600s,0.67,75.0,10000.0,83.2,14,coin,37.5,66.6,37,270.3,2.03,0.748,2.027
BCHUSDT,2.0,3600s,0.67,75.0,10000.0,83.2,14,coin,21.4,66.6,21,476.2,4.09,0.748,2.027
WLFIUSDT,0.5,3600s,1.0,75.0,5000.0,233.0,0,pool,50.0,30.0,30,333.3,2.33,0.515,1.592
WLFIUSDT,1.0,3600s,1.0,75.0,5000.0,233.0,0,pool,33.3,30.0,30,333.3,2.33,0.515,1.592
WLFIUSDT,2.0,3600s,1.0,75.0,5000.0,233.0,0,pool,20.0,30.0,20,500.0,4.0,0.515,1.592
DOTUSDT,0.5,3600s,1.0,75.0,10000.0,233.0,0,pool,50.0,30.0,30,333.3,2.33,0.891,2.287
DOTUSDT,1.0,3600s,1.0,75.0,10000.0,233.0,0,pool,33.3,30.0,30,333.3,2.33,0.891,2.287
DOTUSDT,2.0,3600s,1.0,75.0,10000.0,233.0,0,pool,20.0,30.0,20,500.0,4.0,0.891,2.287
AVAAIUSDT,0.5,3600s,2.5,20.0,5000.0,233.0,0,pool,28.6,20.7,20,500.0,2.5,0.764,3.175
AVAAIUSDT,1.0,3600s,2.5,20.0,5000.0,233.0,0,pool,22.2,20.7,20,500.0,2.5,0.764,3.175
AVAAIUSDT,2.0,3600s,2.5,20.0,5000.0,233.0,0,pool,15.4,20.7,15,666.7,4.17,0.764,3.175
