set,form,short,история_n,история_net,история_control,история_excess,история_days_pos,история_days,история_usd,запись_n,запись_net,запись_control,запись_excess,запись_days_pos,запись_days,запись_usd,holds
t-bid-btc1h-q1,ladder3x2..20w2-pct1-tk1-14400-ttl1800,pct1 · tk1 · 4 ч · без выхода по стене,203,2.6571,-11.1791,13.8362,10,15,53.93913,49,38.2821,7.4002,30.8819,6,7,187.58229,да
t-bid-btc1h-q1,ladder3x2..20w2-pct1-tk1-3600-ttl1800,pct1 · tk1 · 1 ч · без выхода по стене,252,1.2519,-7.317,8.5689,9,15,31.54788,58,29.0318,2.153,26.8788,6,7,168.38443999999998,да
t-bid-btc1h-q1,ladder3x2..20w2-pct1-tk1-7200-ttl1800,pct1 · tk1 · 2 ч · без выхода по стене,221,2.7292,-9.7878,12.517,9,15,60.31532,55,40.3294,4.9905,35.339,7,7,221.81170000000003,да
t-bid-btc1h-q1,ladder3x2..20w2-pct1-tk1.25-14400-ttl1800,pct1 · tk1.25 · 4 ч · без выхода по стене,200,1.9248,-12.029,13.9538,9,15,38.496,48,42.8428,10.2108,32.6319,5,7,205.64543999999995,да
t-bid-btc1h-q1,ladder3x2..20w2-pct1-tk1.25-3600-ttl1800,pct1 · tk1.25 · 1 ч · без выхода по стене,250,-0.7855,-7.4243,6.6388,8,15,-19.6375,58,31.8199,2.9977,28.8223,5,7,184.55542,нет
t-bid-btc1h-q1,ladder3x2..20w2-pct1-tk1.25-7200-ttl1800,pct1 · tk1.25 · 2 ч · без выхода по стене,219,1.1424,-10.2752,11.4176,8,15,25.01856,55,43.362,7.2833,36.0787,6,7,238.49100000000004,да
t-bid-btc1h-q1,ladder3x2..20w2-pct1-tk1.5-14400-ttl1800,pct1 · tk1.5 · 4 ч · без выхода по стене,194,6.5778,-12.1194,18.6973,8,15,127.60932,47,38.94,16.3461,22.5939,3,7,183.01799999999997,да
t-bid-btc1h-q1,ladder3x2..20w2-pct1-tk1.5-3600-ttl1800,pct1 · tk1.5 · 1 ч · без выхода по стене,249,-0.4767,-7.4407,6.964,8,15,-11.86983,58,31.3428,3.2412,28.1015,4,7,181.78824,нет
t-bid-btc1h-q1,ladder3x2..20w2-pct1-tk1.5-7200-ttl1800,pct1 · tk1.5 · 2 ч · без выхода по стене,217,2.1111,-10.0713,12.1824,6,15,45.81087,55,42.7329,8.1639,34.569,5,7,235.03095,да
t-bid-btc1h-q1,ladder3x2..20w2-pct1-tk1.75-14400-ttl1800,pct1 · tk1.75 · 4 ч · без выхода по стене,194,10.0545,-11.6943,21.7488,8,15,195.0573,47,46.4921,17.2847,29.2075,4,7,218.51287000000002,да
t-bid-btc1h-q1,ladder3x2..20w2-pct1-tk1.75-3600-ttl1800,pct1 · tk1.75 · 1 ч · без выхода по стене,249,-0.2664,-7.3858,7.1195,8,15,-6.633360000000001,58,35.0996,3.4807,31.6189,4,7,203.57768000000002,нет
t-bid-btc1h-q1,ladder3x2..20w2-pct1-tk1.75-7200-ttl1800,pct1 · tk1.75 · 2 ч · без выхода по стене,217,4.1517,-10.0031,14.1548,7,15,90.09189,55,47.2802,8.604,38.6761,5,7,260.04110000000003,да
t-bid-btc1h-q1,ladder3x2..20w2-pct1-tk2-14400-ttl1800,pct1 · tk2 · 4 ч · без выхода по стене,192,8.1178,-10.0852,18.2031,8,15,155.86176,46,51.4814,19.8653,31.616,3,7,236.81444000000002,да
t-bid-btc1h-q1,ladder3x2..20w2-pct1-tk2-3600-ttl1800,pct1 · tk2 · 1 ч · без выхода по стене,249,-0.4504,-7.3563,6.906,8,15,-11.214960000000001,58,36.2041,4.0309,32.1732,4,7,209.98377999999997,нет
t-bid-btc1h-q1,ladder3x2..20w2-pct1-tk2-7200-ttl1800,pct1 · tk2 · 2 ч · без выхода по стене,215,2.2955,-9.6829,11.9784,7,15,49.35325,54,45.9536,9.8732,36.0804,5,7,248.14944,да
t-bid-btc1h-q1,ladder3x2..20w2-pct1-tr0.5x0.25-14400-ttl1800,pct1 · tr0.5x0.25 · 4 ч · без выхода по стене,220,3.727,-9.8912,13.6181,8,15,81.994,53,33.022,1.1719,31.8501,6,7,175.01659999999998,да
t-bid-btc1h-q1,ladder3x2..20w2-pct1-tr0.5x0.25-3600-ttl1800,pct1 · tr0.5x0.25 · 1 ч · без выхода по стене,255,-0.2862,-6.6346,6.3484,7,15,-7.298100000000001,58,25.2032,0.4727,24.7306,5,7,146.17856,нет
t-bid-btc1h-q1,ladder3x2..20w2-pct1-tr0.5x0.25-7200-ttl1800,pct1 · tr0.5x0.25 · 2 ч · без выхода по стене,229,4.0826,-8.2837,12.3663,8,15,93.49154000000001,56,32.9182,1.2875,31.6307,7,7,184.34192,да
t-bid-btc1h-q1,ladder3x2..20w2-pct1-tr0.5x0.5-14400-ttl1800,pct1 · tr0.5x0.5 · 4 ч · без выхода по стене,215,2.9657,-10.523,13.4887,9,15,63.76255,52,33.6777,4.4377,29.2401,6,7,175.12404,да
t-bid-btc1h-q1,ladder3x2..20w2-pct1-tr0.5x0.5-3600-ttl1800,pct1 · tr0.5x0.5 · 1 ч · без выхода по стене,255,1.1738,-6.7117,7.8855,8,15,29.931899999999995,57,27.0776,1.8598,25.2178,5,7,154.34232,да
t-bid-btc1h-q1,ladder3x2..20w2-pct1-tr0.5x0.5-7200-ttl1800,pct1 · tr0.5x0.5 · 2 ч · без выхода по стене,227,4.6464,-8.518,13.1644,8,15,105.47328,55,34.9568,3.4581,31.4987,7,7,192.2624,да
t-bid-btc1h-q1,ladder3x2..20w2-pct1-tr1.5x0.25-14400-ttl1800,pct1 · tr1.5x0.25 · 4 ч · без выхода по стене,194,8.7533,-12.1007,20.854,9,15,169.81401999999997,47,40.763,16.5791,24.1839,3,7,191.5861,да
t-bid-btc1h-q1,ladder3x2..20w2-pct1-tr1.5x0.25-3600-ttl1800,pct1 · tr1.5x0.25 · 1 ч · без выхода по стене,249,0.6313,-7.4515,8.0828,8,15,15.719370000000001,58,34.1098,3.3686,30.7412,4,7,197.83684,да
t-bid-btc1h-q1,ladder3x2..20w2-pct1-tr1.5x0.25-7200-ttl1800,pct1 · tr1.5x0.25 · 2 ч · без выхода по стене,217,4.7471,-10.1659,14.913,7,15,103.01207,55,45.3142,8.2143,37.0999,5,7,249.22809999999998,да
t-bid-btc1h-q1,ladder3x2..20w2-pct1-tr1.5x0.5-14400-ttl1800,pct1 · tr1.5x0.5 · 4 ч · без выхода по стене,193,7.8206,-11.5215,19.3421,8,15,150.93758,46,43.9879,18.3387,25.6492,3,7,202.34434000000002,да
t-bid-btc1h-q1,ladder3x2..20w2-pct1-tr1.5x0.5-3600-ttl1800,pct1 · tr1.5x0.5 · 1 ч · без выхода по стене,249,0.0683,-7.4588,7.5272,8,15,1.70067,57,34.1563,3.9807,30.1756,4,7,194.69091,да
t-bid-btc1h-q1,ladder3x2..20w2-pct1-tr1.5x0.5-7200-ttl1800,pct1 · tr1.5x0.5 · 2 ч · без выхода по стене,216,3.1995,-9.8985,13.098,7,15,69.1092,54,49.5746,9.3424,40.2322,5,7,267.70284,да
t-bid-btc1h-q1,ladder3x2..20w2-pct1-tr1.5x1-14400-ttl1800,pct1 · tr1.5x1 · 4 ч · без выхода по стене,192,8.2423,-9.234,17.4763,7,15,158.25216,44,47.9332,23.9724,23.9608,4,7,210.90608000000003,да
t-bid-btc1h-q1,ladder3x2..20w2-pct1-tr1.5x1-3600-ttl1800,pct1 · tr1.5x1 · 1 ч · без выхода по стене,249,0.3609,-7.209,7.5699,8,15,8.98641,57,33.7088,4.3186,29.3902,4,7,192.14015999999998,да
t-bid-btc1h-q1,ladder3x2..20w2-pct1-tr1.5x1-7200-ttl1800,pct1 · tr1.5x1 · 2 ч · без выхода по стене,215,4.6589,-9.0878,13.7467,9,15,100.16635,52,42.7305,10.8274,31.903,5,7,222.1986,да
t-bid-btc1h-q1,ladder3x2..20w2-pct1-tr1x0.25-14400-ttl1800,pct1 · tr1x0.25 · 4 ч · без выхода по стене,203,3.7367,-11.1027,14.8394,10,15,75.85501,49,44.447,8.3021,36.1449,6,7,217.79030000000003,да
t-bid-btc1h-q1,ladder3x2..20w2-pct1-tr1x0.25-3600-ttl1800,pct1 · tr1x0.25 · 1 ч · без выхода по стене,252,1.88,-7.3418,9.2218,9,15,47.376,58,34.6235,2.6054,32.0181,6,7,200.8163,да
